Titulo;ISSN;eISSN;Categorias;Indices;Citacoes;JIF_2025;QuartilMelhor;Quartis
MITTEILUNGEN DER OSTERREICHISCHEN GEOGRAPHISCHEN GESELLSCHAFT;00299138;00299138;GEOGRAPHY;SSCI;148;0.2;Q4;Q4
MITTEILUNGEN KLOSTERNEUBURG;00075922;00075922;FOOD SCIENCE & TECHNOLOGY | HORTICULTURE;SCIE;119;0.2;Q4;Q4
MLN;00267910;10806598;LITERARY THEORY & CRITICISM;AHCI;772;0.2;N/A;N/A
Modern British History;29767016;29767024;HISTORY;AHCI;18;0.2;Q3;Q3
MODERN PHILOLOGY;00268232;15456951;LANGUAGE & LINGUISTICS | LITERATURE;AHCI;480;0.2;N/A;N/A
Modern Theology;02667177;14680025;RELIGION;AHCI;426;0.2;N/A;N/A
MODERNA SPRAK;20003560;20003560;LANGUAGE & LINGUISTICS | LITERATURE;AHCI;68;0.2;N/A;N/A
MODERNISM-MODERNITY;10716068;10806601;HUMANITIES, MULTIDISCIPLINARY;AHCI;449;0.2;N/A;N/A
MOKUZAI GAKKAISHI;00214795;18807577;MATERIALS SCIENCE, PAPER & WOOD;SCIE;375;0.2;Q4;Q4
MonTI;18894178;19899335;LINGUISTICS;ESCI;199;0.2;Q4;Q4
MOUVEMENT SOCIAL;00272671;19618646;HISTORY;AHCI, SSCI;265;0.2;Q3;Q3
Mundo da Saude;01047809;19803990;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;ESCI;163;0.2;Q4;Q4
Museon;07716494;1783158X;ASIAN STUDIES | HUMANITIES, MULTIDISCIPLINARY;AHCI;198;0.2;N/A;N/A
MUSIC & LETTERS;00274224;14774631;MUSIC;AHCI;284;0.2;N/A;N/A
Musica Hodie;16763939;23176776;MUSIC;AHCI;93;0.2;N/A;N/A
MUSICAL QUARTERLY;00274631;17418399;MUSIC;AHCI;410;0.2;N/A;N/A
Musicology Australia;08145857;1949453X;MUSIC;ESCI;55;0.2;N/A;N/A
Naharaim;18629148;18629156;HUMANITIES, MULTIDISCIPLINARY;ESCI;27;0.2;N/A;N/A
Nauchnye i Tekhnicheskie Biblioteki-Scientific and Technical Libraries;01309765;01309765;INFORMATION SCIENCE & LIBRARY SCIENCE;ESCI;114;0.2;Q4;Q4
Nauchnyi Dialog;2225756X;22271295;HUMANITIES, MULTIDISCIPLINARY;ESCI;351;0.2;N/A;N/A
NAVAL ENGINEERS JOURNAL;00281425;15593584;ENGINEERING, CIVIL | ENGINEERING, MARINE | OCEANOGRAPHY;SCIE;326;0.2;Q4;Q4
Nazariyat-Journal for the History of Islamic Philosophy and Sciences;25288563;25479415;PHILOSOPHY | RELIGION;ESCI;56;0.2;N/A;N/A
NEOHELICON;03244652;15882810;LITERATURE;AHCI;205;0.2;N/A;N/A
NEOPHILOLOGUS;00282677;15728668;LANGUAGE & LINGUISTICS | LITERATURE;AHCI;264;0.2;N/A;N/A
Neotestamentica;02548356;25184628;RELIGION;AHCI;125;0.2;N/A;N/A
Netherlands Yearbook for History of Art-Nederlands Kunsthistorisch Jaarboek;01696726;22145966;ART;AHCI;234;0.2;N/A;N/A
NEW THEATRE QUARTERLY;0266464X;14740613;THEATER;AHCI;194;0.2;N/A;N/A
NEW YORK HISTORY;0146437X;23288132;HISTORY;AHCI;141;0.2;Q3;Q3
Nineteenth-Century Art Worldwide;N/A;15431002;ART;ESCI;64;0.2;N/A;N/A
Noesis-Revista de Ciencias Sociales y Humanidades;01889834;23958669;SOCIAL SCIENCES, INTERDISCIPLINARY;ESCI;49;0.2;Q4;Q4
Nordic Journal of African Studies;N/A;14599465;AREA STUDIES;ESCI;248;0.2;Q4;Q4
Nordisk Judaistik-Scandinavian Jewish Studies;03481646;23434929;HUMANITIES, MULTIDISCIPLINARY;ESCI;26;0.2;N/A;N/A
NORTHERN HISTORY;0078172X;17458706;HISTORY;AHCI, SSCI;107;0.2;Q3;Q3
Nova et Vetera-English Edition;15427315;24705861;RELIGION;ESCI;158;0.2;N/A;N/A
Noveishaya Istoriya Rossii-Modern History of Russia;22199659;23097973;HISTORY;ESCI;128;0.2;Q3;Q3
Novoe Literaturnoe Obozrenie;08696365;N/A;LITERARY THEORY & CRITICISM | LITERATURE, SLAVIC;AHCI;431;0.2;N/A;N/A
NOVUM TESTAMENTUM;00481009;N/A;RELIGION;AHCI;233;0.2;N/A;N/A
NOWELE-North-Western European Language Evolution;01088416;22129715;LANGUAGE & LINGUISTICS;ESCI;70;0.2;N/A;N/A
NTU Management Review;10181601;24102490;MANAGEMENT;ESCI;46;0.2;Q4;Q4
NURSING HISTORY REVIEW;10628061;19381913;HISTORY;ESCI;51;0.2;Q3;Q3
Obere Extremitaet-Schulter-Ellenbogen-Hand-Upper Extremity-Shoulder Elbow Hand;18626599;18626602;ORTHOPEDICS;ESCI;185;0.2;Q4;Q4
OCTOBER;01622870;1536013X;HUMANITIES, MULTIDISCIPLINARY;AHCI;844;0.2;N/A;N/A
Onkologie;27317226;27317234;ONCOLOGY;SCIE;229;0.2;Q4;Q4
Onoma;0078463X;17831644;LANGUAGE & LINGUISTICS | LINGUISTICS;ESCI;64;0.2;Q4;Q4
Open Philosophy;N/A;25438875;PHILOSOPHY;ESCI;162;0.2;N/A;N/A
Optica Pura y Aplicada;00303917;21718814;OPTICS;ESCI;121;0.2;Q4;Q4
Opus;15177017;15177017;MUSIC;ESCI;102;0.2;N/A;N/A
Opuscula-Annual of the Swedish Institutes at Athens and Rome;20000898;20000898;ARCHAEOLOGY;AHCI;85;0.2;N/A;N/A
OREGON HISTORICAL QUARTERLY;00304727;N/A;HISTORY;AHCI;154;0.2;Q3;Q3
Organon F;13350668;25857150;PHILOSOPHY;AHCI;102;0.2;N/A;N/A
Osterreichisches Religionspadagogisches Forum;10181539;10181539;RELIGION;ESCI;28;0.2;N/A;N/A
OUD HOLLAND;N/A;18750176;ART;AHCI;194;0.2;N/A;N/A
OXFORD GERMAN STUDIES;00787191;17459214;LITERATURE, GERMAN, DUTCH, SCANDINAVIAN;AHCI;73;0.2;N/A;N/A
Pacific Business Review International;0974438X;0974438X;BUSINESS;ESCI;280;0.2;Q4;Q4
Palabra;01218530;23463864;LITERATURE;ESCI;27;0.2;N/A;N/A
Palaeobulgarica-Starobalgaristika;02044021;26032899;HUMANITIES, MULTIDISCIPLINARY;ESCI;67;0.2;N/A;N/A
Palaestra;87565811;23721391;EDUCATION & EDUCATIONAL RESEARCH;ESCI;172;0.2;Q4;Q4
Papeles de Trabajo;18512577;18512577;SOCIAL SCIENCES, INTERDISCIPLINARY;ESCI;55;0.2;Q4;Q4
Parliamentary History;02642824;17500206;HISTORY;AHCI;173;0.2;Q3;Q3
Pasado y Memoria-Revista de Historia Contemporanea;15793311;23864745;HISTORY;ESCI;95;0.2;Q3;Q3
Pediatria i Medycyna Rodzinna-Paediatrics and Family Medicine;17341531;24510742;PEDIATRICS;ESCI;139;0.2;Q4;Q4
PENSAMIENTO;00314749;23865822;PHILOSOPHY;AHCI;207;0.2;N/A;N/A
Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud;14090724;16594436;SPORT SCIENCES;ESCI;65;0.2;Q4;Q4
Periodico Tche Quimica;18060374;21790302;CHEMISTRY, MULTIDISCIPLINARY;ESCI;129;0.2;Q4;Q4
Person and the Challenges-The Journal of Theology Education Canon Law and Social Studies Inspired by Pope John Paul II;20838018;20838018;RELIGION;ESCI;50;0.2;N/A;N/A
Perspectiva Geografica;01233769;25008684;GEOGRAPHY;ESCI;78;0.2;Q4;Q4
Perspectiva Teologica;01024469;21768757;RELIGION;ESCI;67;0.2;N/A;N/A
Perspectivas de la Comunicacion;07184867;07184867;COMMUNICATION;ESCI;73;0.2;Q4;Q4
PFERDEHEILKUNDE;01777726;N/A;VETERINARY SCIENCES;SCIE;358;0.2;Q4;Q4
Philippine Journal of Crop Science;0115463X;N/A;AGRONOMY;SCIE;115;0.2;Q4;Q4
Philippiniana Sacra;01159577;26517418;RELIGION;ESCI;44;0.2;N/A;N/A
Philologica Canariensia;11363169;23868635;LANGUAGE & LINGUISTICS;ESCI;35;0.2;N/A;N/A
Philosophy and Society-Filozofija i Drustvo;03535738;23348577;PHILOSOPHY;ESCI;112;0.2;N/A;N/A
Philosophy of Photography;20403682;20403690;ART;ESCI;45;0.2;N/A;N/A
PHILOSOPHY TODAY;00318256;23298596;PHILOSOPHY;AHCI;408;0.2;N/A;N/A
Physician Assistant Clinics;24057991;24057991;MEDICINE, GENERAL & INTERNAL;ESCI;83;0.2;Q4;Q4
Pielegniarstwo Chirurgiczne i Angiologiczne-Surgical and Vascular Nursing;18973116;20849850;NURSING;ESCI;53;0.2;Q4;Q4
Plainsong & Medieval Music;09611371;14740087;MEDIEVAL & RENAISSANCE STUDIES | MUSIC;AHCI;38;0.2;N/A;N/A
Pluralist;19307365;N/A;PHILOSOPHY;AHCI;107;0.2;N/A;N/A
Pneuma;02720965;15700747;RELIGION;ESCI;113;0.2;N/A;N/A
Policija i Sigurnost-Police and Security;13300229;1848428X;CRIMINOLOGY & PENOLOGY;ESCI;33;0.2;Q4;Q4
POLIS;0142257X;20512996;CLASSICS;AHCI;167;0.2;N/A;N/A
Polish Hyperbaric Research;17347009;20840535;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;ESCI;19;0.2;Q4;Q4
POLITICA Y GOBIERNO;16652037;N/A;POLITICAL SCIENCE;SSCI;204;0.2;Q4;Q4
Politicke Vedy;13352741;13385623;POLITICAL SCIENCE;ESCI;45;0.2;Q4;Q4
Politique Europeenne;16236297;21052875;POLITICAL SCIENCE;ESCI;169;0.2;Q4;Q4
Politix;02952319;19538286;POLITICAL SCIENCE;SSCI;445;0.2;Q4;Q4
Population Review;15490955;15490955;DEMOGRAPHY;ESCI;143;0.2;Q4;Q4
POSTMODERN CULTURE;10531920;N/A;HUMANITIES, MULTIDISCIPLINARY;AHCI;147;0.2;N/A;N/A
Pravoprimenenie-Law Enforcement Review;25421514;26584050;LAW;ESCI;74;0.2;Q4;Q4
Prawne Problemy Gornictwa i Ochrony Srodowiska;24513431;24513431;ENVIRONMENTAL STUDIES | LAW;ESCI;12;0.2;Q4;Q4
Primerjalna Knjizevnost;03511189;03511189;LITERATURE, SLAVIC;AHCI;67;0.2;N/A;N/A
Prism-Theory and Modern Chinese Literature;25783491;25783505;ASIAN STUDIES | LITERATURE;ESCI;59;0.2;N/A;N/A
Problemele Energeticii Regionale;18570070;18570070;ENERGY & FUELS;ESCI;65;0.2;Q4;Q4
Proceedings of the Institution of Civil Engineers-Engineering History and Heritage;17579430;17579449;ENGINEERING, CIVIL;ESCI;64;0.2;Q4;Q4
Proceedings of the National Academy of Sciences of Belarus-Agrarian Series;18177204;18177239;AGRICULTURE, MULTIDISCIPLINARY;ESCI;32;0.2;Q4;Q4
Progress in Superconductivity and Cryogenics;12293008;22876251;PHYSICS, APPLIED;ESCI;112;0.2;Q4;Q4
Prometeica-Revista de Filosofia y Ciencias;18529488;18529488;PHILOSOPHY;ESCI;53;0.2;N/A;N/A
Prostor;13300652;13339117;ARCHITECTURE;AHCI;97;0.2;N/A;N/A
Przeglad Nauk Historycznych-Review of Historical Sciences;1644857X;24507660;HISTORY;ESCI;41;0.2;Q3;Q3
PRZEMYSL CHEMICZNY;00332496;00332496;CHEMISTRY, MULTIDISCIPLINARY | ENGINEERING, CHEMICAL;SCIE;565;0.2;Q4;Q4
Psicologia Conocimiento y Sociedad;16887026;16887026;PSYCHOLOGY, MULTIDISCIPLINARY;ESCI;75;0.2;Q4;Q4
Psychoanalytic Social Work;15228878;15229033;SOCIAL WORK;ESCI;79;0.2;Q4;Q4
PSYCHOLOGIST;09528229;09528229;PSYCHOLOGY, MULTIDISCIPLINARY;SSCI;749;0.2;Q4;Q4
PUBLISHING HISTORY;03092445;03092445;HISTORY;AHCI;51;0.2;Q3;Q3
PULP & PAPER-CANADA;03164004;19233515;MATERIALS SCIENCE, PAPER & WOOD;SCIE;112;0.2;Q4;Q4
Quaderni di Geofisica;15902595;15902595;GEOCHEMISTRY & GEOPHYSICS;ESCI;30;0.2;Q4;Q4
Qualitative & Quantitative Methods in Libraries;22411925;22411925;INFORMATION SCIENCE & LIBRARY SCIENCE;ESCI;165;0.2;Q4;Q4
Quest-Issues in Contemporary Jewish History;2037741X;2037741X;HISTORY;ESCI;43;0.2;Q3;Q3
Ratio Juris;17946638;26194066;LAW;ESCI;466;0.2;Q4;Q4
Rational Pharmacotherapy in Cardiology;18196446;22253653;CARDIAC & CARDIOVASCULAR SYSTEMS;ESCI;133;0.2;Q4;Q4
Region et Developpement;12675059;21170843;ECONOMICS;ESCI;113;0.2;Q4;Q4
Register of the Kentucky Historical Society;00230243;21610355;HISTORY;ESCI;91;0.2;Q3;Q3
REICE-Revista Electronica de Investigacion en Ciencias Economicas;2308782X;2308782X;ECONOMICS;ESCI;54;0.2;Q4;Q4
ReiDoCrea-Revista Eectronica de Investigacion y Docencia Creativa;22545883;22545883;SOCIAL SCIENCES, INTERDISCIPLINARY;ESCI;104;0.2;Q4;Q4
Relaciones Internacionales;15153371;23142766;INTERNATIONAL RELATIONS;ESCI;56;0.2;Q4;Q4
RELIGION & LITERATURE;08883769;23286911;LITERATURE | RELIGION;AHCI;138;0.2;N/A;N/A
Religion and Society-Advances in Research;21509298;21509301;RELIGION;ESCI;244;0.2;N/A;N/A
Religion and Theology-A Journal of Contemporary Religious Discourse;10230807;15743012;RELIGION;ESCI;95;0.2;N/A;N/A
Religious Inquiries;23224894;25386271;RELIGION;ESCI;20;0.2;N/A;N/A
Renaissance Studies;02691213;14774658;MEDIEVAL & RENAISSANCE STUDIES;AHCI;654;0.2;N/A;N/A
RENASCENCE-ESSAYS ON VALUES IN LITERATURE;00344346;23298626;LITERATURE;AHCI;52;0.2;N/A;N/A
Res Mobilis-International Research Journal of Furniture and Decorative Objects;22552057;22552057;ART;ESCI;24;0.2;N/A;N/A
Res Rhetorica;23923113;23923113;HUMANITIES, MULTIDISCIPLINARY;ESCI;69;0.2;N/A;N/A
RESEARCH IN AFRICAN LITERATURES;00345210;15272044;LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN;AHCI;708;0.2;N/A;N/A
RESEARCH IN PHENOMENOLOGY;00855553;15691640;PHILOSOPHY;AHCI;319;0.2;N/A;N/A
Research in Sport Education and Sciences;N/A;28223527;HOSPITALITY, LEISURE, SPORT & TOURISM | SPORT SCIENCES;ESCI;25;0.2;Q4;Q4
Reti Saperi Linguaggi-Italian Journal of Cognitive Sciences;18268889;22797777;PHILOSOPHY;ESCI;39;0.2;N/A;N/A
REVIEW OF METAPHYSICS;00346632;21541302;PHILOSOPHY;AHCI;777;0.2;N/A;N/A
Review of Middle East Studies;21513481;23293225;AREA STUDIES;ESCI;114;0.2;Q4;Q4
Revija za Socijalnu Politiku;13302965;18456014;SOCIAL ISSUES;SSCI;116;0.2;Q4;Q4
Revista Brasileira de Computacao Aplicada;21766649;21766649;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;ESCI;50;0.2;Q4;Q4
Revista Brasileira de Futsal e Futebol;19844956;19844956;HOSPITALITY, LEISURE, SPORT & TOURISM;ESCI;145;0.2;Q4;Q4
Revista Catalana de Dret Public;18855709;18858252;LAW;ESCI;77;0.2;Q4;Q4
Revista CES Derecho;21457719;21457719;LAW;ESCI;46;0.2;Q4;Q4
Revista Chilena de Derecho;07183437;07183437;LAW;SSCI;155;0.2;Q4;Q4
Revista Chilena de Derecho y Tecnologia;07192576;07192584;LAW;ESCI;54;0.2;Q4;Q4
REVISTA CHILENA DE LITERATURA;07182295;07182295;LITERATURE, ROMANCE;AHCI;137;0.2;N/A;N/A
Revista Cientifica;01242253;23448350;EDUCATION, SCIENTIFIC DISCIPLINES;ESCI;74;0.2;Q4;Q4
Revista Colombiana de Bioetica;19006896;25909452;ETHICS;ESCI;40;0.2;Q4;Q4
Revista Colombiana de Cancerologia;01239015;23460199;ONCOLOGY;ESCI;60;0.2;Q4;Q4
Revista Colombiana de Ciencias Sociales;22161201;22161201;SOCIAL SCIENCES, INTERDISCIPLINARY;ESCI;107;0.2;Q4;Q4
Revista Conrado;19908644;19908644;EDUCATION & EDUCATIONAL RESEARCH;ESCI;552;0.2;Q4;Q4
Revista Corpoica-Ciencia y Tecnologia Agropecuaria;01228706;25005308;AGRICULTURE, MULTIDISCIPLINARY;ESCI;118;0.2;Q4;Q4
Revista Criminalidad;17943108;22565531;CRIMINOLOGY & PENOLOGY;ESCI;127;0.2;Q4;Q4
Revista Cubana de Fisica;02539268;22247939;PHYSICS, MULTIDISCIPLINARY;ESCI;51;0.2;Q4;Q4
Revista da Anpoll;14147564;19827830;LANGUAGE & LINGUISTICS;ESCI;53;0.2;N/A;N/A
Revista de Arquitectura-Bogota;16570308;2357626X;ARCHITECTURE;ESCI;77;0.2;N/A;N/A
Revista de Derecho Civil;23412216;23412216;LAW;ESCI;47;0.2;Q4;Q4
Revista de Ensino de Bioquimica;23188790;23188790;EDUCATION, SCIENTIFIC DISCIPLINES;ESCI;15;0.2;Q4;Q4
Revista de Estudios en Seguridad Internacional-RESI;N/A;24446157;INTERNATIONAL RELATIONS;ESCI;33;0.2;Q4;Q4
Revista de Estudios Latinos;22555056;22555056;CLASSICS | LANGUAGE & LINGUISTICS;ESCI;30;0.2;N/A;N/A
REVISTA DE FILOLOGIA ESPANOLA;02109174;19888538;LANGUAGE & LINGUISTICS | LITERATURE, ROMANCE;AHCI;169;0.2;N/A;N/A
Revista De Historia De La Psicologia;02110040;24450928;PSYCHOLOGY, MULTIDISCIPLINARY;ESCI;72;0.2;Q4;Q4
REVISTA DE INDIAS;00348341;19883188;HISTORY;AHCI;369;0.2;Q3;Q3
Revista de Pesquisa-Cuidado e Fundamental Online;21755361;21755361;NURSING;ESCI;290;0.2;Q4;Q4
Revista de Salud Ambiental;15779572;16972791;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;ESCI;60;0.2;Q4;Q4
Revista de Sociedad Gaditana de Historia Natural;15772578;23405759;ENVIRONMENTAL SCIENCES;ESCI;15;0.2;Q4;Q4
Revista del CLAD Reforma y Democracia;13152378;24434620;POLITICAL SCIENCE | PUBLIC ADMINISTRATION;SSCI;155;0.2;Q4;Q4
Revista do Curso de Direito do UNIFOR;22367632;22367632;LAW;ESCI;13;0.2;Q4;Q4
Revista Espanola de Antropologia Americana;05566533;19882718;ANTHROPOLOGY;ESCI;200;0.2;Q4;Q4
Revista Espanola de Comunicacion en Salud;N/A;19899882;COMMUNICATION;ESCI;93;0.2;Q4;Q4
Revista Estudos Institucionais-Journal of Institutional Studies;N/A;24475467;LAW;ESCI;87;0.2;Q4;Q4
Revista General de Derecho Europeo;16969634;16969634;LAW;ESCI;68;0.2;Q4;Q4
Revista Geografica de America Central;1011484X;22152563;GEOGRAPHY;ESCI;120;0.2;Q4;Q4
Revista Gestion de la Educacion;22152288;22152288;EDUCATION & EDUCATIONAL RESEARCH;ESCI;7;0.2;Q4;Q4
Revista Humanidades;22152253;22153934;HUMANITIES, MULTIDISCIPLINARY;ESCI;59;0.2;N/A;N/A
REVISTA IBEROAMERICANA;00349631;21544794;LITERATURE, ROMANCE;AHCI;280;0.2;N/A;N/A
Revista Internacional de Estudios Migratorios;21731950;21731950;DEMOGRAPHY;ESCI;32;0.2;Q4;Q4
Revista Internacional de Pensamiento Politico;1885589X;2695575X;POLITICAL SCIENCE;ESCI;70;0.2;Q4;Q4
Revista Latinoamericana de Estudios de Familia;21456445;22158758;FAMILY STUDIES;ESCI;55;0.2;Q4;Q4
Revista Medica Clinica Las Condes;N/A;07168640;MEDICINE, GENERAL & INTERNAL;ESCI;362;0.2;Q4;Q4
Revista Mexicana de Analisis Politico y Administracion Publica;20074425;20074638;POLITICAL SCIENCE;ESCI;23;0.2;Q4;Q4
Revista Mexicana de Neurociencia;16655044;16655044;CLINICAL NEUROLOGY;ESCI;154;0.2;Q4;Q4
Revista Pensamiento Americano;20272448;20272448;SOCIAL SCIENCES, INTERDISCIPLINARY;ESCI;33;0.2;Q4;Q4
Revista Perseitas;23461780;23461780;HUMANITIES, MULTIDISCIPLINARY;ESCI;26;0.2;N/A;N/A
Revista Perspectiva Empresarial;23898186;23898194;BUSINESS;ESCI;28;0.2;Q4;Q4
Revista Portuguesa de Historia;08704147;21833796;HISTORY;ESCI;76;0.2;Q3;Q3
Revista Praxis Educacional;18090249;21782679;EDUCATION & EDUCATIONAL RESEARCH;ESCI;89;0.2;Q4;Q4
Revista Publicaciones;15774147;25309269;EDUCATION & EDUCATIONAL RESEARCH;ESCI;45;0.2;Q4;Q4
REVISTA REPUBLICANA;19094450;22565027;LAW;ESCI;41;0.2;Q4;Q4
Revista UNISCI;N/A;23869453;INTERNATIONAL RELATIONS;ESCI;62;0.2;Q4;Q4
Revue des Mondes Musulmans et de la Mediterranee;09971327;21052271;AREA STUDIES;ESCI;186;0.2;Q4;Q4
Revue Francaise d Allergologie;18770320;N/A;ALLERGY;SCIE;254;0.2;Q4;Q4
Rhetoric & Public Affairs;10948392;15345238;COMMUNICATION;ESCI;291;0.2;Q4;Q4
Rivista di Filosofia del Diritto-Journal of Legal Philosophy;2280482X;2280482X;PHILOSOPHY;ESCI;48;0.2;N/A;N/A
RIVISTA DI STORIA DELLA FILOSOFIA;03932516;19725558;PHILOSOPHY;AHCI;158;0.2;N/A;N/A
ROMANCE QUARTERLY;08831157;19403216;LITERATURE, ROMANCE;AHCI;71;0.2;N/A;N/A
Romance Studies;02639904;17458153;LITERATURE, ROMANCE;AHCI;64;0.2;N/A;N/A
Romanticism;1354991X;17500192;LITERATURE;AHCI;99;0.2;N/A;N/A
Rossiiskaya Istoriya;08695687;N/A;HISTORY;AHCI;203;0.2;Q3;Q3
RTH-Research Trends in Humanities Education & Philosophy;22840184;22840184;HUMANITIES, MULTIDISCIPLINARY;ESCI;6;0.2;N/A;N/A
Rukopysna ta Knyzhkova Spadshchyna Ukrainy-Manuscript and Book Heritage of Ukraine;22224203;22224203;HISTORY;ESCI;36;0.2;Q3;Q3
RUSSELL-THE JOURNAL OF THE BERTRAND RUSSELL STUDIES;00360163;19138032;PHILOSOPHY;AHCI;31;0.2;N/A;N/A
Russian Journal of Criminology;25004255;25001442;CRIMINOLOGY & PENOLOGY;ESCI;74;0.2;Q4;Q4
Russian Journal of Vietnamese Studies-Vyetnamskiye issledovaniya;26189453;26189453;AREA STUDIES;ESCI;57;0.2;Q4;Q4
RUSSIAN LITERATURE;03043479;18783678;LITERATURE, SLAVIC;AHCI;175;0.2;N/A;N/A
Rutgers University Law Review;23743859;23743859;LAW;SSCI;122;0.2;Q4;Q4
SaberEs;18524184;18524222;ECONOMICS;ESCI;27;0.2;Q4;Q4
SAGVNTVM-Papeles del Laboratorio de Arqueologia de Valencia;02103729;2174517X;ARCHAEOLOGY;ESCI;129;0.2;N/A;N/A
Scandia;00365483;00365483;HISTORY;AHCI, SSCI;100;0.2;Q3;Q3
Science & Technique;22271031;22271031;ENGINEERING, MULTIDISCIPLINARY;ESCI;167;0.2;Q4;Q4
Scientific Papers of Vinnytsia Mykhailo Kotsyiubynskyi State Pedagogical University Series History;24112143;27092453;HISTORY;ESCI;40;0.2;Q3;Q3
Scienza & Politica-Per una Storia delle Dottrine;15904946;18259618;POLITICAL SCIENCE;ESCI;43;0.2;Q4;Q4
Scrutiny2-Issues in English Studies in Southern Africa;18125441;17535409;LITERATURE;ESCI;83;0.2;N/A;N/A
SEVENTEENTH CENTURY;0268117X;20504616;MEDIEVAL & RENAISSANCE STUDIES;AHCI;240;0.2;N/A;N/A
Short Film Studies;20427824;20427832;FILM, RADIO, TELEVISION;ESCI;28;0.2;N/A;N/A
Sibirskii Filologicheskii Zhurnal;18137083;18137083;LANGUAGE & LINGUISTICS;ESCI;124;0.2;N/A;N/A
Sikh Formations-Religion Culture Theory;17448727;17448735;ASIAN STUDIES;ESCI;102;0.2;N/A;N/A
Slavic Literatures;29504244;29503965;LITERATURE, SLAVIC;AHCI;9;0.2;N/A;N/A
SLAVIC REVIEW;00376779;23257784;AREA STUDIES | HUMANITIES, MULTIDISCIPLINARY;AHCI | SSCI;1340;0.2;Q4;Q4
SLAVONICA;13617427;17458145;HUMANITIES, MULTIDISCIPLINARY;ESCI;44;0.2;N/A;N/A
Slovensky Narodopis-Slovak Ethnology;13351303;13399357;ANTHROPOLOGY;ESCI;86;0.2;Q4;Q4
Small Axe;07990537;15346714;HUMANITIES, MULTIDISCIPLINARY;AHCI;1308;0.2;N/A;N/A
Snippets;15901807;15901807;LANGUAGE & LINGUISTICS;ESCI;38;0.2;N/A;N/A
SOCIAL ALTERNATIVES;01550306;18366600;SOCIOLOGY;ESCI;253;0.2;Q4;Q4
SocietaMutamentoPolitica-Rivista Italiana di Sociologia;20383150;20383150;SOCIOLOGY;ESCI;68;0.2;Q4;Q4
Sociologia Nauki i Tehnologij-Sociology of Science & Technology;20790910;24149225;HISTORY & PHILOSOPHY OF SCIENCE | SOCIOLOGY;ESCI;49;0.2;Q4;Q4
Sodobna Pedagogika-Journal of Contemporary Educational Studies;00380474;00380474;EDUCATION & EDUCATIONAL RESEARCH;ESCI;119;0.2;Q4;Q4
Space & Form;18953247;23917725;ARCHITECTURE;ESCI;72;0.2;N/A;N/A
Sri Lankan Journal of Anaesthesiology;13918834;22791965;ANESTHESIOLOGY;ESCI;56;0.2;Q4;Q4
Srpski Arhiv za Celokupno Lekarstvo;03708179;03708179;MEDICINE, GENERAL & INTERNAL;SCIE;553;0.2;Q4;Q4
St Petersburg Polytechnic University Journal-Physics and Mathematics;24057223;24057223;PHYSICS, MULTIDISCIPLINARY;ESCI;173;0.2;Q4;Q4
Stellenbosch Theological Journal;24139459;24139467;RELIGION;ESCI;114;0.2;N/A;N/A
Strategic Behavior and the Environment;1944012X;19440138;ENVIRONMENTAL STUDIES;ESCI;28;0.2;Q4;Q4
Strength Fracture and Complexity;15672069;18759262;MATERIALS SCIENCE, CHARACTERIZATION & TESTING;ESCI;66;0.2;Q4;Q4
STUDI STORICI;00393037;2036458X;HISTORY;AHCI;293;0.2;Q3;Q3
Studia Canonica;22953019;22953027;RELIGION;AHCI;47;0.2;N/A;N/A
Studia Ethnologica Croatica;13303627;18489532;ANTHROPOLOGY;ESCI;69;0.2;Q4;Q4
Studia Historica-Historia Medieval;02132060;02132060;MEDIEVAL & RENAISSANCE STUDIES;ESCI;159;0.2;N/A;N/A
Studia Litterarum;25004247;25418564;LITERATURE;ESCI;78;0.2;N/A;N/A
Studia Musicologica;17886244;17892422;MUSIC;AHCI;74;0.2;N/A;N/A
Studia Philosophica Kantiana;13387758;13387758;PHILOSOPHY;ESCI;8;0.2;N/A;N/A
Studia Slavica et Balcanica Petropolitana;1995848X;1995848X;HISTORY;ESCI;31;0.2;Q3;Q3
Studia Theodisca;15932478;23852917;LITERATURE, GERMAN, DUTCH, SCANDINAVIAN;ESCI;2;0.2;N/A;N/A
Studia Universitatis Babes-Bolyai Philosophia;12218138;20659407;PHILOSOPHY;ESCI;29;0.2;N/A;N/A
Studia Warminskie;01376624;01376624;HUMANITIES, MULTIDISCIPLINARY;ESCI;67;0.2;N/A;N/A
Studies in Chinese Religions;23729988;23729996;ASIAN STUDIES | RELIGION;ESCI;70;0.2;N/A;N/A
Studies in European Cinema;17411548;20400594;FILM, RADIO, TELEVISION;ESCI;135;0.2;N/A;N/A
Studies in History and Theory of Architecture-Studii de Istoria si Teoria Arhitecturii;23446544;24571687;ARCHITECTURE;AHCI;24;0.2;N/A;N/A
Studies in Peoples History;23484489;23497718;HISTORY;ESCI;48;0.2;Q3;Q3
